"Location Name","Location ID","Comments within last month / comments last recorded","Registered manager","Location UPRN","Location telephone number","Location Web Address","Location Local Authority","Location ADASS Region","Primary inspection category","Service Types","Care homes beds","Location HSCA start date","Location HSCA end date","Dormant","Location Latest Overall Rating","Publication Date","Service users supported","Size of care home (bands by number of beds)","Location length of service (bands by number of years)","Location safe rating","Location effective rating","Location caring rating","Location responsive rating","Location well-led rating","Provider Name","Provider ID","Provider HSCA start date","Provider length of service (bands by number of years)","Provider Ownership Type","Provider Companies House Number","Provider characteristic - number of locations","Provider characteristic - national group size (based on locations)","Provider characteristic - number of beds","Provider characteristic - share of beds (nationally)","Provider characteristic - number of local authority areas where it has locations","Provider characteristic - % of local authority areas where it has locations","Brand Name","Brand ID","Brand characteristic - number of locations","Brand characteristic -national group size (based on locations)","Brand characteristic - number of beds","Brand characteristic - share of beds (nationally)","Brand characteristic - % of local authority areas where it has locations","Brand characteristic - number of local authority areas where it has locations"
" AbilityAvenue Care","1-21268168552","","Mubayi, Shingirai Oneness, Mr","10094781981","07999902195","","Dorset","South West (ADASS Region)","Community based adult social care services","Supported living service","0","2025-01-02","","Y","","1/2/2025 12:00:00 AM","Caring for adults under 65 yrs, Learning Disabilities or autistic spectrum disorder, Mental health conditions, Physical disabilities","","More than 1 year but less than 3 years","","","","","","AbilityAvenue Care Ltd","1-18392978582","1/2/2025 12:00:00 AM","1","Organisation","14501286","1","1 location","0","0","1","1.00%","","","","","","0","",""
" ASP Healthcare Services Ltd","1-22940471514","","Simanwe, Namukale Nanyangwe, Mrs","200004481135","01452471471","","Gloucestershire","South West (ADASS Region)","Community based adult social care services","Domiciliary care service","0","2025-06-26","","Y","","6/26/2025 12:00:00 AM","Dementia, Physical disabilities, Sensory impairment","","","","","","","","ASP Healthcare Services Ltd","1-21364297500","6/26/2025 12:00:00 AM","0","Organisation","15756430    ","1","1 location","0","0","1","1.00%","","","","","","0","",""
"'Mollies' Hebe Healthcare Kings Norton","1-11958380640","","Kaur, Amandeep, Mrs","100071453015","","www.hebehealthcare.co.uk","Birmingham","West Midlands (ADASS Region)","Community based adult social care services","Supported living service","0","2022-02-09","","N","","2/9/2022 12:00:00 AM","Caring for adults over 65 yrs, Caring for adults under 65 yrs, Learning Disabilities or autistic spectrum disorder, Mental health conditions, Physical disabilities","","More than 3 years but less than 5 years","","","","","","Hebe Healthcare Limited","1-403886198","4/30/2012 12:00:00 AM","13","Organisation","07488164","4","2 - 5 locations","0","0","2","1.00%","","","","","","0","",""
"06 Care Limited","1-323930881","","Khatun, Shajeda, Ms","34985254","01535608944","www.06careltd.com","Bradford","Yorkshire and Humber (ADASS Region)","Community based adult social care services","Domiciliary care service","0","2011-11-01","","N","Good","11/1/2011 12:00:00 AM","Caring for adults over 65 yrs, Caring for adults under 65 yrs, Caring for children, Dementia, Learning Disabilities or autistic spectrum disorder, Mental health conditions, Physical disabilities, Substance misuse problems","","More than 8 years","Good","Good","Outstanding","Good","Good","06 Care Limited","1-264952453","8/16/2011 12:00:00 AM","14","Organisation","07644803","2","2 - 5 locations","0","0","2","1.00%","","","","","","0","",""
"1 & 2 Flax Cottages","1-752918925","","Kelly, Julie, Mrs","10032939742","01670530247","","Northumberland","North East (ADASS Region)","Residential social care","Care home service without nursing","9","2013-06-04","","N","Good","6/4/2013 12:00:00 AM","Caring for adults over 65 yrs, Caring for adults under 65 yrs, Learning Disabilities or autistic spectrum disorder, Physical disabilities","1-9 beds","More than 8 years","Good","Good","Good","Good","Good","Lifeways Community Care Limited","1-101675727","10/1/2010 12:00:00 AM","15","Organisation","04126127","127","More than 50 locations","521","0.06","57","37.00%","BRAND Lifeways Community Care","BD252","321","More than 50 locations","1114","0.12","79","51.00%"
"1 & 2 Hedgerows","1-143332621","","Polden, Tara Louise, Mrs","200003734785","03000422633","www.kent.gov.uk","Kent","South East (ADASS Region)","Residential social care","Care home service without nursing","4","2011-01-17","","N","Good","1/17/2011 12:00:00 AM","Caring for adults over 65 yrs, Caring for adults under 65 yrs, Caring for children, Learning Disabilities or autistic spectrum disorder, Physical disabilities, Sensory impairment","1-9 beds","More than 8 years","Good","Good","Outstanding","Good","Good","Kent County Council","1-101677610","10/1/2010 12:00:00 AM","15","Organisation","","46","21 - 50 locations","589","0.07","1","1.00%","BRAND Kent County Council","BD274","46","21 - 50 locations","589","0.07","1","1.00%"
"1 Charmandean Road","1-9649169095","","Mupfunde, Maxwell Musekiwa, Mr","100061882205","01903231971","www.achievetogether.co.uk","West Sussex","South East (ADASS Region)","Residential social care","Care home service without nursing","8","2020-12-01","","N","Requires improvement","12/1/2020 12:00:00 AM","Caring for adults under 65 yrs, Learning Disabilities or autistic spectrum disorder, Physical disabilities","1-9 beds","More than 5 years but less than 8 years","Requires improvement","Requires improvement","Good","Good","Requires improvement","Achieve Together Limited","1-116992858","10/1/2010 12:00:00 AM","15","Organisation","03153442","266","More than 50 locations","1436","0.16","65","42.00%","BRAND Achieve Together","BD519","506","More than 50 locations","2573","0.29","76","49.00%"
"1 Devonshire Avenue","1-119791925","","Clarke, Linda Mary, Mrs","100031313940","01159255422","www.heritagecare.co.uk","Nottinghamshire","East Midlands (ADASS Region)","Residential social care","Care home service with nursing","20","2011-03-15","","N","Good","3/15/2011 12:00:00 AM","Caring for adults under 65 yrs, Learning Disabilities or autistic spectrum disorder, Physical disabilities, Sensory impairment","10-24 beds","More than 8 years","Good","Good","Good","Good","Good","Ambient Support Limited","1-102643235","10/1/2010 12:00:00 AM","15","Organisation","07211819","58","More than 50 locations","579","0.06","21","14.00%","BRAND Heritage Care","BD152","68","More than 50 locations","624","0.07","21","14.00%"
"1 Diamond Home Care Limited","1-6749206400","","Ruzvidzo, Perpertua, Ms","63198030","01302965280","www.1diamondhomecare.co.uk","Wakefield","Yorkshire and Humber (ADASS Region)","Community based adult social care services","Domiciliary care service","0","2019-04-26","","N","Good","4/26/2019 12:00:00 AM","Caring for adults over 65 yrs, Caring for adults under 65 yrs, Dementia, Learning Disabilities or autistic spectrum disorder, Physical disabilities","","More than 5 years but less than 8 years","Good","Good","Good","Good","Good","1 Diamond Home Care Ltd","1-437487505","9/25/2012 12:00:00 AM","13","Organisation","07793825","3","2 - 5 locations","0","0","2","1.00%","","","","","","0","",""
"1 Fengates Road","1-9649169129","","Deokissoon, Sandra Jane, Mrs","68127807","01737778811","www.achievetogether.co.uk","Surrey","South East (ADASS Region)","Residential social care","Care home service without nursing","6","2020-12-01","","N","Good","12/1/2020 12:00:00 AM","Caring for adults over 65 yrs, Caring for adults under 65 yrs, Learning Disabilities or autistic spectrum disorder, Mental health conditions, Physical disabilities","1-9 beds","More than 5 years but less than 8 years","Good","Good","Good","Good","Good","Achieve Together Limited","1-116992858","10/1/2010 12:00:00 AM","15","Organisation","03153442","266","More than 50 locations","1436","0.16","65","42.00%","BRAND Achieve Together","BD519","506","More than 50 locations","2573","0.29","76","49.00%"
