Name,Address 1,Address 2,Town/City,County,Postcode,Phone number,CQC Provider ID (for office use only),CQC Location ID (for office use only),Website,Local authority,Region,Report publication date,URL,Also known as,Specialisms/services,Service types,Provider name
" ASP Healthcare Services Ltd",5 Tainmor Close,Longlevens,Gloucester,,GL2 0XE,01452471471,1-21364297500,1-22940471514,,Gloucestershire,South West,,https://www.cqc.org.uk/location/1-22940471514,,"Sensory impairments,Dementia,Physical disabilities",Homecare agencies,ASP Healthcare Services Ltd
" AbilityAvenue Care",43 Warren Way,,Sherborne,,DT9 4FS,07999902195,1-18392978582,1-21268168552,,Dorset,South West,,https://www.cqc.org.uk/location/1-21268168552,,"Caring for adults under 65 yrs,Learning disabilities,Mental health conditions,Physical disabilities",Supported living,AbilityAvenue Care Ltd
"#HEALTH Crosby",18 South Road,Waterloo,Liverpool,,L22 5PQ,03003002979,1-20388583348,1-20396518332,https://www.vidaclinics.co.uk,Sefton,North West,,https://www.cqc.org.uk/location/1-20396518332,,Services for everyone,"Doctors/GPs,Doctors/GPs",Vim Vitae Holdings Limited
"'I Say' Supported Living Services Limited","Unit 82, Riverside Estate","Sir Thomas Longley Road, Medway City Estate",Rochester,Kent,ME2 4BH,01634712168,1-1379610354,,https://www.carechoices.co.uk/care-home/i-say-supported-living-services-limited-in-rochester-kent/,Medway,South East,,https://www.cqc.org.uk/provider/1-1379610354,,Personal care,Organisation,'I Say' Supported Living Services Limited
"'Mollies' Hebe Healthcare Kings Norton",208 Monyhull Hall Road,Kings Norton,Birmingham,,B30 3QJ,,1-403886198,1-11958380640,https://www.hebehealthcare.co.uk,Birmingham,West Midlands,,https://www.cqc.org.uk/location/1-11958380640,,"Caring for adults under 65 yrs,Learning disabilities,Mental health conditions,Caring for adults over 65 yrs,Physical disabilities",Supported living,Hebe Healthcare Limited
"(CHP) Langdon Hills Medical Centre, Great Berry Surgery","Unit 2, Great Berry Centre","Nightingales, Langdon Hills",Basildon,,SS16 6SA,01268418444,1-11038870484,1-11647306224,,Essex,East,,https://www.cqc.org.uk/location/1-11647306224,,Services for everyone,"Doctors/GPs,Doctors/GPs",Community Healthcare Partnerships Limited
"(IECC Care) Independent Excel Care Consortium Limited","Office 1, Beacon Lodge Complex",2 Gladstone Road,Colchester,Essex,CO1 2EB,01206585079,1-1017830531,,https://www.iecc-care.co.uk,Essex,East,,https://www.cqc.org.uk/provider/1-1017830531,IECC Care,Personal care,Organisation,(IECC Care) Independent Excel Care Consortium Limited
"1 Castle Street,","1 Castle Street,",,Hinckley,,LE10 1DA,,1-18689370458,1-20630335845,https://www.adhdcertify.co.uk,Leicestershire,East Midlands,,https://www.cqc.org.uk/location/1-20630335845,,"Caring for children (0 - 18yrs),Caring for adults under 65 yrs,Caring for adults over 65 yrs",Phone/online advice,ADHD CERTIFY LTD
"1, 2 and 3 St Georges Gardens",St. Georges Gardens,St. Georges Avenue,Birkenhead,,CH42 6SJ,07912241036,1-17086636090,1-18146816866,https://www.autismpathways.co.uk,Wirral,North West,,https://www.cqc.org.uk/location/1-18146816866,,"Sensory impairments,Caring for adults under 65 yrs,Learning disabilities,Mental health conditions,Physical disabilities",Residential homes,AP Birkenhead Limited
"1-3 The Courtyard, Unit 24",Calvin Street,,Bolton,Lancashire,BL1 8PB,01204360220,1-101663172,1-2310061252,https://www.comco.org.uk,Bolton,North West,2023-05-03T00:00:00Z,https://www.cqc.org.uk/location/1-2310061252,,"Caring for children (0 - 18yrs),Sensory impairments,Dementia,Learning disabilities,Mental health conditions,Caring for adults over 65 yrs,Substance misuse problems,Physical disabilities","Homecare agencies,Supported living",Community Care Options
"149 Thistledown Road, Nottingham, Nottinghamshire, United Kingdom, NG11 9EB",149 Thistledown Road,,Nottingham,,NG11 9EB,07462546247,1-14444623343,1-14785791481,https://www.centeredproviderltd.co.uk,Nottingham,East Midlands,,https://www.cqc.org.uk/location/1-14785791481,"149 Thistledown Road, Nottingham, Nottinghamshire, United Kingdom, NG11 9EB","Caring for adults under 65 yrs,Dementia,Mental health conditions,Caring for adults over 65 yrs,Physical disabilities",Homecare agencies,Centered Provider Ltd
"18 Wolverton Gardens, Horley (Active Prospects)",Heathercroft,18 Wolverton Gardens,Horley,Surrey,RH6 7LX,01293774813,1-101650500,1-121963720,https://www.activeprospects.org.uk,Surrey,South East,2020-02-11T00:00:00Z,https://www.cqc.org.uk/location/1-121963720,Heathercroft,"Learning disabilities,Caring for adults over 65 yrs",Residential homes,Active Prospects
"1st Floor, LMC Business Wing",38-44 Whitechapel Road,,London,,E1 1JX,07855227614,1-1244603799,1-19508334125,,Tower Hamlets,London,2022-03-22T00:00:00Z,https://www.cqc.org.uk/location/1-19508334125,,"Caring for children (0 - 18yrs),Caring for adults under 65 yrs","Doctors/GPs,Doctors/GPs",Dr Mohammad Hossain Howlader
"2 Chandos Walk, Leeds, England, LS8 1QD",2 Chandos Walk,,Leeds,,LS8 1QD,07777135894,1-12718037373,1-13045160252,https://www.believershealthcare.co.uk,Leeds,Yorkshire & Humberside,,https://www.cqc.org.uk/location/1-13045160252,,"Caring for adults under 65 yrs,Dementia,Caring for adults over 65 yrs",Homecare agencies,Believers Healthcare Ltd
"2 Green Smile LTD, trading as 2 Green Dental",2 Green Walk,Crayford,Dartford,Kent,DA1 4JL,01322521044,1-2166681590,1-2214255895,https://www.2greendental.co.uk,Bexley,London,2018-10-16T00:00:00Z,https://www.cqc.org.uk/location/1-2214255895,,Services for everyone,Dentist,2 Green Smile Ltd
"25 Devonshire Place, Dental Practice","First Floor, Front Suite",25 Devonshire Place,London,,W1G 6JD,07754460352,1-398459454,1-416824371,,Westminster,London,2014-04-25T00:00:00Z,https://www.cqc.org.uk/location/1-416824371,,Services for everyone,Dentist,25 Devonshire Place Limited
"2nd Floor, Howard House",Howard House,6 Bank Street,Bradford,West Yorkshire,BD1 1EE,03033308947,1-256729774,1-2866629494,https://www.locala.org.uk,Bradford,Yorkshire & Humberside,,https://www.cqc.org.uk/location/1-2866629494,,"Caring for children (0 - 18yrs),Caring for adults under 65 yrs,Caring for adults over 65 yrs","Community services - Healthcare,Doctors/GPs",Locala Community Partnerships C.I.C.
"31-32, Southernhay East",31-32,Southernhay East,Exeter,,EX1 1NS,07413524327,1-14348286479,1-19679225445,,Devon,South West,2025-05-02T13:52:23Z,https://www.cqc.org.uk/location/1-19679225445,,"Caring for adults under 65 yrs,Dementia,Learning disabilities,Mental health conditions,Caring for adults over 65 yrs,Physical disabilities","Homecare agencies,Supported living",Domlyn Ltd
"359 Eastern Avenue, Gants Hill",359 Eastern Avenue,,Ilford,,IG2 6NE,07930996096,1-21255363873,1-23272936544,,Redbridge,London,,https://www.cqc.org.uk/location/1-23272936544,,"Sensory impairments,Caring for adults under 65 yrs,Dementia,Caring for adults over 65 yrs,Physical disabilities",Homecare agencies,Harley Hunter Medical Ltd
"39, Lansdowne Road",39 Lansdowne Road,,Middlesbrough,,TS4 2LW,07400380803,1-14595293176,1-14956917502,https://www.lifeaidplus.co.uk,Middlesbrough,North East,,https://www.cqc.org.uk/location/1-14956917502,,"Sensory impairments,Caring for adults under 65 yrs,Dementia,Caring for adults over 65 yrs,Physical disabilities",Homecare agencies,LifeAid Plus Healthcare Ltd
"4,5,7 The Sycamores","5 The Sycamores, Storthfield Way","Broadmeadows, South Normanton",Alfreton,,DE55 3BJ,,1-116865881,1-23645782635,https://www.cygnethealth.co.uk,Derbyshire,East Midlands,,https://www.cqc.org.uk/location/1-23645782635,,"Caring for adults under 65 yrs,Learning disabilities,Caring for adults over 65 yrs",Residential homes,Cygnet Behavioural Health Limited
"44 Rothsay Avenue, Stoke-On-Trent ST1 6EZ",44 Rothsay Avenue,,Stoke-on-trent,,ST1 6EZ,07949912066,1-15524359358,1-16860981029,https://www.reaglehealth.com,Stoke-on-Trent,West Midlands,,https://www.cqc.org.uk/location/1-16860981029,,"Caring for adults under 65 yrs,Caring for adults over 65 yrs",Homecare agencies,Reagle Health Limited
"9 & 9a Coxwold Grove, 17 & 33 Priory Grove",9a Coxwold Grove,Gipsyville,Hull,,HU4 6HH,01482329226,1-101668883,1-388952317,https://www.avocettrust.co.uk,"Kingston upon Hull, City of",Yorkshire & Humberside,2019-07-03T00:00:00Z,https://www.cqc.org.uk/location/1-388952317,,"Caring for adults under 65 yrs,Learning disabilities,Caring for adults over 65 yrs,Physical disabilities",Residential homes,Avocet Trust
"9, Richmond Crescent",9 Richmond Crescent,,Slough,,SL1 1XA,07477777786,1-5777758161,1-8180322895,,Slough,South East,,https://www.cqc.org.uk/location/1-8180322895,,"Sensory impairments,Caring for adults under 65 yrs,Learning disabilities,Mental health conditions,Caring for adults over 65 yrs,Physical disabilities","Homecare agencies,Supported living",Hazel Care Services Ltd
"@HomeDental Limited",24 Bridgetown,,Totnes,,TQ9 5AD,08081694546,1-4644914295,1-4946970203,https://www.athomedental.co.uk,Devon,South West,2023-10-17T00:00:00Z,https://www.cqc.org.uk/location/1-4946970203,,Services for everyone,Dentist,@HomeDental Limited
"@HomeDental Limited",Wessex House,Teign Road,Newton Abbot,Devon,TQ12 4AA,08081694546,1-4644914295,,https://www.athomedental.co.uk,Devon,South West,,https://www.cqc.org.uk/provider/1-4644914295,,"Treatment of disease, disorder or injury,Surgical procedures,Diagnostic and screening procedures",Organisation,@HomeDental Limited
"@MK18 Private Medical Practice",Unit 10,"Stowe Castle Business Park, Stowe",Buckingham,Buckinghamshire,MK18 5AB,01280730180,1-5566991120,1-5937220975,https://www.mk18medical.com,Buckinghamshire,South East,2020-03-19T00:00:00Z,https://www.cqc.org.uk/location/1-5937220975,,Services for everyone,"Doctors/GPs,Doctors/GPs",JMO Healthcare Limited
"@PlymouthCare Ltd",Ballard House,West Hoe Road,Plymouth,,PL1 3BJ,01752312500,1-11122865263,,https://www.atplymouthcare.co.uk,Plymouth,South West,,https://www.cqc.org.uk/provider/1-11122865263,,Personal care,Organisation,@PlymouthCare Ltd
"@PlymouthCare",Ballard House,26 West Hoe Road,Plymouth,,PL1 3BJ,01752312500,1-11122865263,1-17709796700,https://www.atplymouthcare.co.uk,Plymouth,South West,2022-11-15T00:00:00Z,https://www.cqc.org.uk/location/1-17709796700,,"Sensory impairments,Caring for adults under 65 yrs,Dementia,Mental health conditions,Caring for adults over 65 yrs,Substance misuse problems,Physical disabilities",Homecare agencies,@PlymouthCare Ltd
"A Johnson, A Pourmahak",Hardhorn road dental practice,47 Hardhorn Road,Poulton-le-fylde,,FY6 7SR,01253883079,1-7456587271,,,Lancashire,North West,,https://www.cqc.org.uk/provider/1-7456587271,,"Treatment of disease, disorder or injury,Surgical procedures,Diagnostic and screening procedures",Partnership,"A Johnson, A Pourmahak"
"A&J Assisted Living T/A Radfield Home Care Loughborough, Charnwood & Melton Mowbray",Unit 8 & 9,"Ark Business Centre, Meadow Lane Industrial Estate, Gordon Road",Loughborough,,LE11 1JP,01509426037,1-11463059034,1-11803396562,https://www.radfieldhomecare.co.uk,Leicestershire,East Midlands,,https://www.cqc.org.uk/location/1-11803396562,"Radfield Home Care Loughborough, Charnwood & Melton Mowbray","Sensory impairments,Caring for adults under 65 yrs,Dementia,Caring for adults over 65 yrs,Physical disabilities",Homecare agencies,A&J Assisted Living Ltd
"A,P & S Thurairatnam",Tudor lodge health Centre,8C Victoria Drive,London,,SW19 6AE,02087800125,1-5535796953,,https://www.tudorlodgehealthcentre.co.uk,Wandsworth,London,,https://www.cqc.org.uk/provider/1-5535796953,Tudor Lodge Health Centre,"Maternity and midwifery services,Treatment of disease, disorder or injury,Surgical procedures,Diagnostic and screening procedures",Partnership,"A,P & S Thurairatnam"
